,Unnamed: 0,Unnamed: 0.1,Ubicación,Area,Baños,Habitaciones,Precio
25,25,25,"Casa en Venta Venta De Casa En Capultitlan Toluca
, Toluca De Lerdo, México",324.0,3.0,7.0,215000.0
26,26,26,"Casa en Venta Venta De Casa En Residencial Colón Toluca
, Toluca De Lerdo, México",280.0,2.0,2.0,400000.0
27,27,27,"Casa en Venta Venta De Casa En Colonia Independencia Toluca
, Toluca De Lerdo, México",315.0,2.0,4.0,217500.0
28,28,28,"Casa en Venta Venta De Casa En Cacalomacan En Cerrada De Abedules
, Cacalomacan, Toluca De Lerdo",,2.0,3.0,375000.0
29,29,29,"Casa en Venta Venta De Casa En La Colonia Sanchez Toluca
, Toluca De Lerdo, México",353.0,2.0,4.0,225000.0
30,30,30,"Casa en Venta Venta De Quinta Familiar En San Pablo Autopan Estado De Mèxico
, Toluca De Lerdo",189.0,2.0,3.0,134500.0
31,31,31,"Casa en Venta Casa Nueva En Venta En Cacalomacan Toluca
, Cacalomacan, Toluca De Lerdo",148.0,2.0,3.0,125000.0
32,32,32,"Casa en Venta Venta De Casa Nuieva En Fuentes De San Jose Toluca
, Toluca De Lerdo, México",250.0,3.0,3.0,156000.0
33,33,33,"Casa en Venta Venta De Casa En Colonia Ocho Cedros Toluca
, Toluca De Lerdo, México",,3.0,4.0,112500.0
34,34,34,"Casa en Venta Venta De Casa En El Centro De Toluca
, Toluca De Lerdo, México",1690.0,3.0,4.0,1400000.0
35,35,35,"Casa en Venta Venta De Casa En Cacalomacán Centro Toluca
, Toluca De Lerdo, México",800.0,4.0,4.0,610000.0
36,36,36,"Casa en Venta Marie Curie 303, Toluca De Lerdo, México",189.0,4.0,3.0,282500.0
37,37,37,"Casa en Venta Casa Nueva Oxotitlan
, Toluca De Lerdo, México",250.0,1.0,4.0,150000.0
38,38,38,"Casa en Venta Toluca De Lerdo, México",271.0,2.0,3.0,257500.0
39,39,39,"Casa en Venta Ignacio Zaragoza 102, Toluca De Lerdo, México",120.0,2.0,3.0,77500.0
40,40,40,"Casa en Venta Venta De Casa En Valle Don Camilo En La Calle Montes Altai, Toluca
, Toluca De Lerdo, México",209.0,2.0,4.0,170000.0
41,41,41,"Casa en Venta Venta De Casa En Toluca A Un Costado De La Procuraduría
, Toluca De Lerdo, México",188.0,3.0,3.0,122500.0
42,42,42,"Casa en Venta Venta Rancho En Cacalomacan Toluca
, Cacalomacan, Toluca De Lerdo",400.0,5.0,4.0,500000.0
43,43,43,"Casa en Venta Venta De Casa En Cacalomacán Estado De Mèxico
, Cacalomacan, Toluca De Lerdo",,3.0,4.0,850000.0
44,44,44,"Casa en Venta Las Misiones
, San Mateo Otzacatipan, Toluca De Lerdo",,2.0,3.0,78000.0
45,45,45,"Casa en Venta Toluca De Lerdo, México",1046.0,4.0,4.0,1150000.0
46,46,46,"Casa en Venta Casa En Venta En Galeana, Toluca Centro
, Toluca De Lerdo, México",380.0,4.0,6.0,700000.0
47,47,47,"Casa en Venta Toluca De Lerdo, México",425.0,3.0,3.0,795000.0
48,48,48,"Casa en Venta Venta De Casa En Colonia Ocho Cedros Toluca
, Toluca De Lerdo, México",237.0,7.0,8.0,155000.0
49,49,49,"Casa en Venta Venta De Casa Con 3 Locales En El Centro De Toluca
, Toluca De Lerdo, México",282.0,,,480250.0
50,50,50,"Casa en Venta Toluca De Lerdo, México",566.0,5.0,,1250000.0
51,51,51,"Casa en Venta Venta De Casa En El Cerrillo Vista Hermosa Toluca
, Toluca De Lerdo, México",120.0,1.0,3.0,57500.0
52,52,52,"Casa en Venta Venta De Casa A Precio De Terreno En El Centro De Toluca
, Toluca De Lerdo, México",,,,325000.0
53,53,53,"Casa en Venta Morelos Esquina Quintana Roo, Toluca De Lerdo, México",355.0,6.0,8.0,175000.0
54,54,54,"Casa en Venta Céntrica Casa En Venta O Renta En Av Instituto Literario Toluca
, Toluca De Lerdo, México",600.0,4.0,4.0,475000.0
55,55,55,"Casa en Venta Prolongacion San Pedro Totoltepec 302, San Pedro Totoltepec, Toluca De Lerdo",151.0,2.0,3.0,81000.0
56,56,56,"Casa en Venta Vesana 104, Capultitlán, Toluca De Lerdo",168.0,2.0,3.0,74205.65
57,57,57,"Casa en Venta Prol Paseo Totoltepec 302, San Pedro Totoltepec, Toluca De Lerdo",100.0,2.0,2.0,51836.7
58,58,58,"Casa en Venta Paseos Del Valle, Rincón Del Parque, Toluca De Lerdo",100.0,2.0,3.0,41390.35
59,59,59,"Casa en Venta San Marcos 259, Toluca, Toluca De Lerdo",108.0,2.0,3.0,24426.85
60,60,60,"Casa en Venta Rinconada De Mayordomo, San Mateo Otzacatipan, Toluca De Lerdo",250.0,2.0,3.0,102469.65
61,61,61,"Casa en Venta Valle De Isarco 20, Toluca De Lerdo, México",270.0,3.0,4.0,145670.6
62,62,62,"Casa en Venta Valle De Trebbia 12, Toluca De Lerdo, México",300.0,3.0,4.0,116750.0
63,63,63,"Casa en Venta Hacienda Las Carretas 48, Toluca De Lerdo, México",120.0,2.0,3.0,19096.65
64,64,64,"Casa en Venta Boulevard Lic Adolfo Lopez Mateos 146, Toluca De Lerdo, México",160.0,2.0,3.0,41500.0
65,65,65,"Casa en Venta Privada Vainlla 1799, Toluca De Lerdo, México",210.0,3.0,4.0,71500.0
66,66,66,"Casa en Venta Privada Gardenia 3089, Toluca De Lerdo, México",210.0,3.0,4.0,74113.2
67,67,67,"Casa en Venta Bosque De Encinos 1819, Toluca De Lerdo, México",200.0,3.0,4.0,67750.0
68,68,68,"Casa en Venta Rebeca 155, Unidad Victoria, Toluca De Lerdo",120.0,2.0,3.0,127660.75
69,69,69,"Casa en Venta Cda Hacienda San Jorge, San Mateo Oxtotitlán, Toluca De Lerdo",120.0,2.0,3.0,41165.9
70,70,70,"Casa en Venta Valle De Trebbia 12, Toluca De Lerdo, México",240.0,3.0,4.0,139750.0
71,71,71,"Casa en Venta Prolongacion 5 De Mayo 1541, Comisión Federal De Electricidad, Toluca De Lerdo",130.0,2.0,3.0,236990.45
72,72,72,"Casa en Venta Av. Independencia 143, Toluca De Lerdo, México",120.0,2.0,2.0,20850.0
73,73,73,"Casa en Venta Miguel Mata No. 209 santiago Miltepec toluca Edo Mex., Toluca De Lerdo, México",140.0,2.0,3.0,21530.1
74,74,74,"Casa en Venta Jose Maria Morelos 105, Independencia, Toluca De Lerdo",45.0,1.0,2.0,18637.4
75,75,75,"Casa en Venta Santos Degollado 000 Niños Heroes,toluca,estado De Mexico,50100, Niños Héroes, Toluca De Lerdo",350.0,2.0,4.0,68491.25
76,76,76,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110.0,2.0,3.0,47363.3
77,77,77,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110.0,2.0,3.0,47363.3
78,78,78,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110.0,2.0,3.0,47363.3
79,79,79,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110.0,2.0,3.0,47363.3
80,80,80,"Casa en Venta Prolongación Ruta De La Independencia # 131, Independencia, Toluca De Lerdo",110.0,2.0,3.0,16500.0
81,81,81,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110.0,2.0,3.0,47363.3
82,82,82,"Casa en Venta Fracc Hacienda Del Valle Ii, Hacienda Del Valle Ii, Toluca De Lerdo",110.0,2.0,3.0,19096.65
83,83,83,"Casa en Venta Tierra Y Libertad 114 Casa 00 La Ribera,toluca,toluca,estado De Mexico,50100, San Mateo Oxtotitlán, Toluca De Lerdo",130.0,2.0,3.0,39785.95
84,84,84,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110.0,2.0,3.0,47363.3
85,85,85,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110.0,2.0,3.0,47363.3
86,86,86,"Casa en Venta Guerrero, Cacalomacan, Toluca, Cacalomacan, Toluca De Lerdo",220.0,2.0,4.0,43737.1
87,87,87,"Casa en Venta Prolongacion Progreso 305, Bosques De San Mateo, Toluca De Lerdo",160.0,2.0,3.0,30120.4
88,88,88,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110.0,2.0,3.0,47363.3
89,89,89,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110.0,2.0,3.0,47363.3
90,90,90,"Casa en Venta Paloma Torcaza 38, Toluca De Lerdo, México",100.0,1.0,3.0,18958.0
91,91,91,"Casa en Venta Carr.toluca-naucalpan #1702, San Mateo Otzacatipan, Toluca De Lerdo",150.0,2.0,3.0,73500.0
92,92,92,"Casa en Venta Manuel M. Dieguez  503, Guadalupe, Toluca De Lerdo",180.0,2.0,3.0,29450.0
93,93,93,"Casa en Venta Tierra Y Libertad 114, Toluca De Lerdo, México",120.0,2.0,3.0,49553.05
94,94,94,"Casa en Venta Agronomos 101 Fracc.misiones De Santa Esperaza, Toluca 50227, Misiones De Santa Esperanza, Toluca De Lerdo",120.0,2.0,3.0,19842.85
95,95,95,"Casa en Venta Azaleas Las Flores, Toluca De Lerdo, México",120.0,1.0,3.0,27737.7
96,96,96,"Casa en Venta Paloma Silvestre 86, Toluca De Lerdo, México",80.0,1.0,3.0,18958.0
97,97,97,"Casa en Venta Arteaga Oriente, Toluca De Lerdo, México",300.0,3.0,3.0,112500.0
98,98,98,"Casa en Venta Adolfo Lopez Mateos 146, Toluca De Lerdo, México",100.0,2.0,3.0,41500.0
99,99,99,"Casa en Venta Arco Iris 15b, Bosques De San Mateo, Toluca De Lerdo",90.0,1.0,2.0,31783.5
100,100,100,"Casa en Venta Nezahualcoyotl 716, Izcalli Ipiem, Toluca De Lerdo",150.0,2.0,3.0,53250.0
101,101,101,"Casa en Venta Luis Gonzaga Urbina, Tlacopa, Toluca De Lerdo",500.0,2.0,3.0,142750.0
102,102,102,"Casa en Venta Miguel Hidalgo 79, Toluca De Lerdo, México",240.0,3.0,4.0,192500.0
103,103,103,"Casa en Venta Adolfo Lopez Mateos 146, Toluca De Lerdo, México",100.0,2.0,3.0,41500.0
104,104,104,"Casa en Venta Hacienda Cerro Viejo, San Nicolás Tolentino, Toluca De Lerdo",120.0,2.0,3.0,49750.0
105,105,105,"Casa en Venta Filiberto Navas 00, Rancho San Jorge, Toluca De Lerdo, Méx. 50100, Ex-hacienda San Jorge, Toluca De Lerdo",100.0,1.0,3.0,60283.7
106,106,106,"Casa en Venta Boulevard De Los Continentes 118, De Tlanepantla, Toluca De Lerdo",400.0,4.0,4.0,218110.7
107,107,107,"Casa en Venta De La Barraca #00-0 Barrio Tlacopa Toluca De Lerdo 50010, Tlacopa, Toluca De Lerdo",85.0,1.0,3.0,25826.75
108,108,108,"Casa en Venta Rinconada De La Capilla, San Mateo Otzacatipan, Toluca De Lerdo",300.0,4.0,4.0,180250.0
109,109,109,"Casa en Venta Girasol 218, Club Jardín, Toluca De Lerdo",125.0,2.0,3.0,63782.75
110,110,110,"Casa en Venta Hacienda Las Carretas, Toluca De Lerdo, México",70.0,1.0,3.0,19096.65
111,111,111,"Casa en Venta Girasol 218, Toluca De Lerdo, México",125.0,2.0,3.0,63782.75
112,112,112,"Casa en Venta Isla San Juan De Ulúa 125, De Tlanepantla, Toluca De Lerdo",200.0,3.0,4.0,48000.0
113,113,113,"Casa en Venta Fernando Aguilar Vilchis, Rancho La Mora, Toluca De Lerdo",160.0,2.0,3.0,20602.1
114,114,114,"Casa en Venta Girasol 218, Toluca De Lerdo, México",125.0,2.0,3.0,63782.75
115,115,115,"Casa en Venta San Mateo Otzacatipan, 50200 San Nicolás Tolentino, San Mateo Otzacatipan, Toluca De Lerdo",120.0,2.0,2.0,90500.0
116,116,116,"Casa en Venta Rebeca No. Ext 155, Unidad Victoria, Toluca De Lerdo",150.0,1.0,3.0,52500.0
117,117,117,"Casa en Venta Cerro Del Mercado 205, De Tlanepantla, Toluca De Lerdo",150.0,2.0,3.0,62500.0
118,118,118,"Casa en Venta María Curie, Toluca De Lerdo, México",200.0,3.0,3.0,197250.0
119,119,119,"Casa en Venta Girasol 00, Toluca De Lerdo, México",125.0,2.0,3.0,63782.75
120,120,120,"Casa en Venta Paloma Tortola 00, Las Palomas, Toluca De Lerdo, Méx., Toluca De Lerdo, México",50.0,1.0,2.0,23550.35
121,121,121,"Casa en Venta Juan Silveti 137, Toluca De Lerdo, México",100.0,2.0,3.0,28750.0
122,122,122,"Casa en Venta Adolfo Lopez Mateos # 146, Centro, Toluca De Lerdo",140.0,1.0,3.0,59933.2
123,123,123,"Casa en Venta Av Independencia # 139, Toluca De Lerdo, México",100.0,1.0,3.0,20850.0
124,124,124,"Casa en Venta Arbol De Las Manitas Toluca, Toluca De Lerdo, México",120.0,2.0,3.0,19270.0
125,125,125,"Casa en Venta Las Flores No Ext 278 No Int 43, Tlacopa, Toluca De Lerdo",565.0,3.0,6.0,528569.9
126,126,126,"Casa en Venta Prolongacion 5 De Mayo #1541, Toluca De Lerdo, México",150.0,2.0,4.0,74500.0
127,127,127,"Casa en Venta Independencia 129, Toluca De Lerdo, México",200.0,3.0,5.0,73500.0
128,128,128,"Casa en Venta Miguel Hidalgo #, Centro, Toluca De Lerdo",153.0,2.0,3.0,33159.2
129,129,129,"Casa en Venta Carretera Toluca Naucalpan # 00, San Mateo Oxtotitlán, Toluca De Lerdo",200.0,2.0,3.0,73500.0
130,130,130,"Casa en Venta Manuel M Dieguez, Toluca De Lerdo, México",120.0,2.0,3.0,23950.0
131,131,131,"Casa en Venta Av Hidalgo, San Bernardino, Toluca De Lerdo",240.0,2.0,4.0,33307.5
132,132,132,"Casa en Venta Isabel La Catolica, Américas, Toluca De Lerdo",150.0,2.0,4.0,54810.0
133,133,133,"Casa en Venta Guillermo Marconi Toluca, Toluca De Lerdo, México",120.0,2.0,3.0,34963.6
134,134,134,"Casa en Venta Toluca # 606, Sector Popular, Toluca De Lerdo",100.0,2.0,2.0,28474.0
135,135,135,"Casa en Venta Adolfo López Mateos 146, Toluca De Lerdo, México",150.0,2.0,3.0,41500.0
136,136,136,"Casa en Venta Jose Marti 209, Toluca De Lerdo, México",95.0,2.0,2.0,27900.0
137,137,137,"Casa en Venta Av Independencia 143, Toluca De Lerdo, México",100.0,2.0,3.0,18850.0
138,138,138,"Casa en Venta Isabela Catolica # 00, Américas, Toluca De Lerdo",120.0,2.0,3.0,54810.0
139,139,139,"Casa en Venta Azucena 125b, 5 De Mayo, Toluca De Lerdo",80.0,2.0,3.0,17928.4
140,140,140,"Casa en Venta San Marcos, Toluca De Lerdo, México",121.0,2.0,3.0,24272.0
141,141,141,"Casa en Venta Camino Viejo A San Lorenzo 200, Toluca De Lerdo, México",90.0,2.0,3.0,20367.25
142,142,142,"Casa en Venta Santa Cruz Otzacatipan, Toluca De Lerdo, México",200.0,2.0,3.0,170750.0
143,143,143,"Casa en Venta Arbol De Las Manitas, Toluca De Lerdo, México",150.0,2.0,3.0,19270.0
144,144,144,"Casa en Venta Bosques De Pirules 105 Toluca, Toluca De Lerdo, México",100.0,2.0,3.0,29410.0
145,145,145,"Casa en Venta Azaleas, Toluca De Lerdo, México",95.0,2.0,3.0,27737.65
146,146,146,"Casa en Venta Av Independencia 143, Toluca De Lerdo, México",100.0,2.0,3.0,18850.0
147,147,147,"Casa en Venta Guillermo # 00, Toluca De Lerdo, México",100.0,2.0,2.0,34963.6
148,148,148,"Casa en Venta Jose Maria Jauregui No. 00, Toluca De Lerdo, México",140.0,2.0,2.0,26851.6
149,149,149,"Casa en Venta Avenida Independencia # 00, Toluca De Lerdo, México",130.0,2.0,2.0,18850.0
150,150,150,"Casa en Venta Antiguo Camino A San Lorenzo # 200, Independencia, Toluca De Lerdo",120.0,1.0,4.0,48341.05
151,151,151,"Casa en Venta Jose Marti 200, Independencia, Toluca De Lerdo",100.0,2.0,3.0,48341.05
152,152,152,"Casa en Venta Cristobal Olmedo, San Miguel Apinahuizco, Toluca De Lerdo",330.0,2.0,4.0,28392.9
153,153,153,"Casa en Venta Lago Tanganica, Toluca De Lerdo, México",190.0,2.0,3.0,74275.0
154,154,154,"Casa en Venta Jose Vicente Villada 101 - Casa-9,l-9, Toluca De Lerdo, México",245.0,3.0,4.0,154750.0
155,155,155,"Casa en Venta Tierra Y Libertad # 00, Toluca De Lerdo, México",200.0,2.0,3.0,49553.05
156,156,156,"Casa en Venta Adolfo Lopez Mateos # 146, Toluca De Lerdo, México",100.0,23.0,3.0,41500.0
157,157,157,"Casa en Venta Toluca De Lerdo, México",90.0,2.0,3.0,23499.6
158,158,158,"Casa en Venta Miguel Hidalgo San Lorenzo Tepaltitlan Toluca, San Lorenzo Tepaltitlán Centro, Toluca De Lerdo",122.0,1.0,3.0,73014.0
159,159,159,"Casa en Venta La Barranca #, Tlacopa, Toluca De Lerdo",70.0,1.0,2.0,25826.75
160,160,160,"Casa en Venta Rancho Seco #, Unidad Victoria, Toluca De Lerdo",80.0,1.0,2.0,10653.05
161,161,161,"Casa en Venta Progreso 305, Toluca De Lerdo, México",110.0,3.0,4.0,30120.4
162,162,162,"Casa en Venta Hidalgo Poniente San Bernardino, Toluca De Lerdo, México",160.0,2.0,3.0,33307.45
163,163,163,"Casa en Venta Azaleas #, San Lorenzo Tepaltitlán Centro, Toluca De Lerdo",95.0,1.0,3.0,27737.7
164,164,164,"Casa en Venta Paloma Silvestre #, Centro, Toluca De Lerdo",130.0,1.0,3.0,23565.35
165,165,165,"Casa en Venta Hacienda Zumpango, Hacienda Del Valle Ii, Toluca De Lerdo",85.0,2.0,2.0,49822.4
166,166,166,"Casa en Venta Prol. 5 De Mayo 2 Ote, Toluca De Lerdo, México",120.0,2.0,3.0,74500.0
167,167,167,"Casa en Venta Galileo Galilei, Toluca De Lerdo, México",300.0,3.0,4.0,90750.0
168,168,168,"Casa en Venta Av. Bosques Del Nevado, Toluca De Lerdo, México",180.0,2.0,3.0,36625.0
169,169,169,"Casa en Venta Paloma Silvestre 32, Toluca De Lerdo, México",62.0,1.0,2.0,24002.9
170,170,170,"Casa en Venta Jose Ma Arteaga, Toluca De Lerdo, México",112.0,2.0,3.0,112500.0
171,171,171,"Casa en Venta Bosques De Pirules 105, Toluca De Lerdo, México",100.0,2.0,3.0,29410.0
172,172,172,"Casa en Venta C. De La Independencia 129, Toluca De Lerdo, México",150.0,2.0,3.0,73500.0
173,173,173,"Casa en Venta Delegación San Mateo Otzacatipan, Toluca De Lerdo, Méx.
, Toluca De Lerdo, México",70.0,1.0,2.0,64500.0
174,174,174,"Casa en Venta Av Hidalgo 17
, De Tlanepantla, Toluca De Lerdo",160.0,4.0,4.0,165000.0
175,175,175,"Casa en Venta Toluca
, Toluca De Lerdo, México",540.0,5.0,4.0,565000.0
176,176,176,"Casa en Venta Venta Casa En La Col. Morelos
, Morelos 1a Sección, Toluca De Lerdo",92.0,1.0,3.0,149000.0
177,177,177,"Casa en Venta Ceboruco #sn
, Ampliación Lázaro Cárdenas, Toluca De Lerdo",177.0,3.0,3.0,155000.0
178,178,178,"Casa en Venta Cacalomacan, Toluca De Lerdo",250.0,5.0,3.0,212500.0
179,179,179,"Casa en Venta Casa Sola Toluca Cu Tollocan Matlazincas Adolfo López Mateos
, Rincón Del Parque, Toluca De Lerdo",230.0,3.0,5.0,125000.0
180,180,180,"Casa en Venta Juan Álvarez 918, Vértice, 50090 Toluca De Lerdo, Méx.
, Vértice, Toluca De Lerdo",180.0,2.0,3.0,117500.0
181,181,181,"Casa en Venta Cacalomacan, Toluca De Lerdo",250.0,5.0,3.0,212500.0
182,182,182,"Casa en Venta Cacalomacán, Edo. De México
, Cacalomacan, Toluca De Lerdo",335.0,3.0,3.0,382500.0
183,183,183,"Casa en Venta Ampliación Lázaro Cárdenas, Toluca De Lerdo",177.0,3.0,3.0,157500.0
184,184,184,"Casa en Venta Paseo De Los Jinetes, Cacalomacan
, Toluca De Lerdo, México",2000.0,6.0,6.0,10000000.0
185,185,185,"Casa en Venta Cristobal Colon
, San Mateo Oxtotitlán, Toluca De Lerdo",140.0,2.0,2.0,115000.0
186,186,186,"Casa en Venta Paseo De Los Clérigos
, Toluca De Lerdo, México",87.0,2.0,3.0,82500.0
187,187,187,"Casa en Venta Paseo De Los Dioses #234, 23
, Toluca De Lerdo, México",170.0,3.0,3.0,124500.0
188,188,188,"Casa en Venta Ceboruco #sn
, Toluca De Lerdo, México",177.0,3.0,3.0,155000.0
189,189,189,"Casa en Venta Niños Héroes #316, 1
, Toluca De Lerdo, México",135.0,3.0,3.0,98500.0
190,190,190,"Casa en Venta Casa Valle Don Camilo Cerca Las Torres Tollocan
, Toluca De Lerdo, México",400.0,4.0,4.0,300000.0
191,191,191,"Casa en Venta A Solo 10 Min De Pabellon Metepec #sn
, Toluca De Lerdo, México",177.0,3.0,3.0,155000.0
192,192,192,"Casa en Venta Paseo Colón Null
, Ciprés, Toluca De Lerdo",,3.0,6.0,1900000.0
193,193,193,"Casa en Venta Calle Ramon Gomez Del V. 109
, Toluca De Lerdo, México",,4.0,4.0,324500.0
194,194,194,"Casa en Venta Ometusco #00
, Los Sauces V, Toluca De Lerdo",74.0,1.0,3.0,14386.5
195,195,195,"Casa en Venta Av. Arboleda 102, Col, 50220 San Mateo Otzacatipan, Méx. #sn
, Toluca De Lerdo, México",124.0,3.0,3.0,93000.0
196,196,196,"Casa en Venta Pedro Ascencio #400
, Toluca De Lerdo, México",115.0,2.0,2.0,87500.0
197,197,197,"Casa en Venta Https://goo.gl/maps/5l6yq7whzfplav5q7
, Toluca De Lerdo, México",332.0,2.0,3.0,180000.0
198,198,198,"Casa en Venta Mextli #sn
, Toluca De Lerdo, México",170.0,3.0,3.0,155000.0
199,199,199,"Casa en Venta Cristóbal Colón
, San Mateo Oxtotitlán, Toluca De Lerdo",149.0,1.0,3.0,105000.0
200,200,200,"Casa en Venta Cerrada De Abedules No, 6 6
, Toluca De Lerdo, México",,9.0,6.0,3500000.0
201,201,201,"Casa en Venta Luis Donaldo Colosio #0, 1
, Toluca De Lerdo, México",200.0,3.0,3.0,67500.0
202,202,202,"Casa en Venta Toluca De Lerdo, México",177.0,3.0,3.0,155000.0
203,203,203,"Casa en Venta Km. 52.5 Carretera Toluca Naucalpan #km 52.5
, Toluca De Lerdo, México",100.0,3.0,3.0,64146.0
204,204,204,"Casa en Venta Campo Real, Delegación Santa María Totoltepec, 50245 Toluca De Lerdo, Méx.
, Santa María Totoltepec, Toluca De Lerdo",180.0,2.0,3.0,125000.0
205,205,205,"Casa en Venta Av. Encinos
, Toluca De Lerdo, México",204.0,3.0,4.0,80000.0
206,206,206,"Casa en Venta Toluca De Lerdo, México",160.0,2.0,3.0,120000.0
207,207,207,"Casa en Venta Miguel Hidalgo
, La Merced  (alameda), Toluca De Lerdo",1046.0,3.0,4.0,1150000.0
208,208,208,"Casa en Venta Lago Del Oso N 314 Colonia Villa Hogar, Cp52170, Toluca Estado De México, México.
, Villa Hogar, Toluca De Lerdo",,2.0,3.0,137500.0
209,209,209,"Casa en Venta Flor De Ma. R. De M. 104a, Barrio De La Merced, De La Merced, Estado De México
, La Merced  (alameda), Toluca De Lerdo",300.0,2.0,4.0,292500.0
210,210,210,"Casa en Venta Hermosa Residencia En Venta, Residencial Colón, Toluca, Edo. De México.
, Ciprés, Toluca De Lerdo",390.0,5.0,5.0,430000.0
211,211,211,"Casa en Venta San Nicolas Tolentino Otzacatipan 50230 San Nicolás Tolentino, Méx #sn
, Toluca De Lerdo, México",113.0,3.0,3.0,84750.0
212,212,212,"Casa en Venta Hacieda Guadalupe #36
, Toluca De Lerdo, México",132.0,2.0,2.0,55000.0
213,213,213,"Casa en Venta Mza 43 #43, 00
, San Nicolás Tolentino, Toluca De Lerdo",110.0,1.0,3.0,60000.0
214,214,214,"Casa en Venta Carretera Toluca Naucalpan #1702
, Toluca De Lerdo, México",100.0,3.0,3.0,67565.0
215,215,215,"Casa en Venta Juan Aldama Sur 512
, Toluca De Lerdo, México",,5.0,5.0,730000.0
216,216,216,"Casa en Venta Casa En Venta, Cacalomacan, Edo. De México.
, Cacalomacan, Toluca De Lerdo",300.0,2.0,3.0,215000.0
217,217,217,"Casa en Venta Moctezuma Xocoyotzin
, Santa María Totoltepec, Toluca De Lerdo",170.0,1.0,3.0,82500.0
218,218,218,"Casa en Venta Prolongacion Laguna Del Volcan S/n
, Héroes Del 5 De Mayo, Toluca De Lerdo",400.0,3.0,,185000.0
